Type,Shock,Return (%),Volatility (%),Sharpe,Weight Change
Return Shock,-10%,14.623646965835043,0.2809069248743879,41.378997584458794,1.4610766614631375e-08
Return Shock,-5%,15.436071850028993,0.280906921584033,44.27114782327909,7.133198265739903e-09
Return Shock,+0%,16.248496737138364,0.2809069183868252,47.16329812459234,0.0
Return Shock,+5%,17.06092162702711,0.28090691527731887,50.055448486007506,6.820548611796737e-09
Return Shock,+10%,17.873346519571733,0.2809069122504727,52.947598905326345,1.335591891193973e-08
Covariance Shock,-10%,16.248467307051488,0.26650148854829564,49.71254524400372,5.429372996335649e-06
Covariance Shock,-5%,16.24848261511066,0.2737990132321335,48.38762002359107,2.6039346276533e-06
Covariance Shock,+0%,16.248496737138364,0.2809069183868252,47.16329812459234,0.0
Covariance Shock,+5%,16.248509753065317,0.2878392860000946,46.027454893912434,2.3972180507830842e-06
Covariance Shock,+10%,16.248521740290474,0.29460853647056123,44.96991804449745,4.602113524760532e-06
